GATEADRESSER MED POSTNUMMER -  Kreditering: Erik Bolstad (CC-BY-3.0)
http://www.erikbolstad.no/postnummer/
OBS! Posten gav tidlegare ut gratis gateregistre, men frå 2011 må ein betale fleire titusen i året for å få tilgang til registra. Gatenamna nedanfor er sist oppdatert i mars 2011, og vil ikkje bli oppdatert før Posten endrar politikk.
---
POSTNR	POSTSTAD	GATE/VEG/STADNAMN/ANNA	TYPEKODE	TYPE	BYDEL	KOMMNR	KOMMUNE	FYLKE
0001	OSLO	Sentrum Postboks 1500	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0010	OSLO	Vika Postboks 1	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0010	OSLO	Henrik Ibsens gate 1	6	Gate-/veg-adresse	Sentrum	301	Oslo	Oslo
0015	OSLO	Oslo Mil/Akershus	1	Firma/organisasjon med eige postnummer	Sentrum	301	Oslo	Oslo
0016	OSLO	Oslo Mil/Huseby	1	Firma/organisasjon med eige postnummer	Vestre Aker	301	Oslo	Oslo
0017	OSLO	Oslo Mil/Kolsås	1	Firma/organisasjon med eige postnummer		219	Bærum	Akershus
0018	OSLO	Feltpost utland	2	Kjend stadnamn	Sentrum	301	Oslo	Oslo
0021	OSLO	Postbanken	1	Firma/organisasjon med eige postnummer	Frogner	301	Oslo	Oslo
0022	OSLO	Norges Postbank	1	Firma/organisasjon med eige postnummer	Sentrum	301	Oslo	Oslo
0024	OSLO	Alnabru Postboks 500	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0025	OSLO	Sentralstasjonen Postboks 7300	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0026	OSLO	Stortinget	1	Firma/organisasjon med eige postnummer	Sentrum	301	Oslo	Oslo
0026	OSLO	Karl Johans gate 22	6	Gate-/veg-adresse	Sentrum	301	Oslo	Oslo
0027	OSLO	Rikshospitalet	1	Firma/organisasjon med eige postnummer	Nordre Aker	301	Oslo	Oslo
0028	OSLO	Youngstorget Postboks 1-3	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0028	OSLO	Youngstorget Postboks 8701-8969	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0030	OSLO	Dep Postboks 8000-8040	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0031	OSLO	Dep Postboks 8041-8099	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0032	OSLO	Dep Postboks 8100-8130	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0033	OSLO	Dep Postboks 8131-8160	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0034	OSLO	Dep Postboks 8161-8199	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0037	OSLO	Oslo kommune, Rådhuset	1	Firma/organisasjon med eige postnummer	Sentrum	301	Oslo	Oslo
0040	OSLO	De Norske Bokklubbene	1	Firma/organisasjon med eige postnummer	Sagene	301	Oslo	Oslo
0041	OSLO	De Norske Bokklubbene	1	Firma/organisasjon med eige postnummer	Sagene	301	Oslo	Oslo
0042	OSLO	De Norske Bokklubbene	1	Firma/organisasjon med eige postnummer	Sagene	301	Oslo	Oslo
0043	OSLO	De Norske Bokklubbene	1	Firma/organisasjon med eige postnummer	Sagene	301	Oslo	Oslo
0045	OSLO	Bankenes Betalingssentral (BBS)	1	Firma/organisasjon med eige postnummer	Stovner	301	Oslo	Oslo
0046	OSLO	Bankenes Betalingssentral (BBS)	1	Firma/organisasjon med eige postnummer	Stovner	301	Oslo	Oslo
0047	OSLO	Bankenes Betalingssentral (BBS)	1	Firma/organisasjon med eige postnummer	Stovner	301	Oslo	Oslo
0048	OSLO	NSB	1	Firma/organisasjon med eige postnummer	Sentrum	301	Oslo	Oslo
0050	OSLO	Stenersgata 1-9	6	Gate-/veg-adresse	Sentrum	301	Oslo	Oslo
0051	OSLO	Posthuset Postboks 1-30	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0055	OSLO	Fredhøys Forlag A/S	1	Firma/organisasjon med eige postnummer	Sentrum	301	Oslo	Oslo
0055	OSLO	Hjemmet Bokforlag A/S	1	Firma/organisasjon med eige postnummer	Sentrum	301	Oslo	Oslo
0055	OSLO	Hjemmet Serieforlag A/S	1	Firma/organisasjon med eige postnummer	Sentrum	301	Oslo	Oslo
0055	OSLO	Litor A/S	1	Firma/organisasjon med eige postnummer	Sentrum	301	Oslo	Oslo
0055	OSLO	N.W.Damm og Søn A/S	1	Firma/organisasjon med eige postnummer	Sentrum	301	Oslo	Oslo
0080	OSLO	SAS	1	Firma/organisasjon med eige postnummer	Sentrum	235	Ullensaker	Akershus
0081	OSLO	Aetat - meldekort	1	Firma/organisasjon med eige postnummer	Sentrum	301	Oslo	Oslo
0101	OSLO	Sentrum Postboks 1-100	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0101	OSLO	Sentrum Postboks 331-360	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0102	OSLO	Sentrum Postboks 101-200	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0102	OSLO	Sentrum Postboks 361-390	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0103	OSLO	Sentrum Postboks 201-330	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0103	OSLO	Sentrum Postboks 391-445	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0104	OSLO	Sentrum Postboks 446-457	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0104	OSLO	Sentrum Postboks 801-1150	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0105	OSLO	Sentrum Postboks 458-580	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0105	OSLO	Sentrum Postboks 721-741	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0106	OSLO	Sentrum Postboks 581-720	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0106	OSLO	Sentrum Postboks 742-800	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0107	OSLO	Sentrum Postboks 1151-1199	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0107	OSLO	Sentrum Postboks 2000	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0109	OSLO	Sentrum Postboks 1400-1449	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0110	OSLO	Vika Postboks 1200-1249	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0111	OSLO	Vika Postboks 1250-1299	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0112	OSLO	Vika Postboks 1300-1339	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0113	OSLO	Vika Postboks 1340-1363	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0114	OSLO	Vika Postboks 1364-1399	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0115	OSLO	Vika Postboks 1400-1449	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0116	OSLO	Vika Postboks 1450-1499	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0117	OSLO	Vika Postboks 1500-1559	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0118	OSLO	Vika Postboks 1560-1599	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0119	OSLO	Vika Postboks 1600-1649	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0120	OSLO	Vika Postboks 1650-1699	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0121	OSLO	Vika Postboks 1700-1749	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0122	OSLO	Vika Postboks 1750-1799	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0123	OSLO	Vika Postboks 1800-1859	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0124	OSLO	Vika Postboks 1860-1919	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0125	OSLO	Vika Postboks 1920-1999	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0126	OSLO	Vika Postboks 2090-2199	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0127	OSLO	Vika Postboks 2200-2399	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0128	OSLO	Grensen Postboks 7350	4	Postboksadresse	Sentrum	301	Oslo	Oslo
0129	OSLO	St.Olavs plass Postboks 6600-6700	4	Postboksadresse	St.Hanshaugen	301	Oslo	Oslo
