POSTNUMMER MED KOORDINATAR: Opphavsrett © Erik Bolstad (CC-BY-3.0)
http://www.erikbolstad.no/postnummer/
Dersom du brukar listene må du vise fylgjande tekst på sida: Postnummerdata frå Erik Bolstad. (teksten skal vere ei lenke til http://www.erikbolstad.no/postnummer/).
---
POSTNR	POSTSTAD	POSTNR- OG STAD	BRUKSOMRÅDE	FOLKETAL	BYDEL	KOMMNR	KOMMUNE	FYLKE	LAT	LON	UTM	DATAKVALITET	DATAKVALITETSFORKLARING	SIST OPPDATERT
0001	Oslo	0001 OSLO	Postboksar		Sentrum	301	Oslo	Oslo	59.91160	10.75450	32V 598115 6642866	2	Koordinatane er retta av Erik Bolstad	2018-10-10 20:21:41
0009	OSLO (ikkje i bruk)	0009 OSLO (ikkje i bruk)	Usikker			301	Oslo	Oslo	59.91000	10.75000	32V 597868 6642682	6	Usikker plassering	2018-10-03 16:52:23
0010	Oslo	0010 OSLO	Gateadresser og postboksar	0	Sentrum	301	Oslo	Oslo	59.91710	10.72740	32V 596584 6643439	2	Koordinatane er retta av Erik Bolstad	2018-10-10 20:21:41
0014	Oslo (ikkje i bruk)	0014 OSLO (ikkje i bruk)	Firma/organisasjon med eige postnummer			301	Oslo	Oslo	59.91160	10.75450	32V 598115 6642866	2	Koordinatane er retta av Erik Bolstad	2018-10-03 16:30:31
0015	Oslo	0015 OSLO	Gateadresser og postboksar		Sentrum	301	Oslo	Oslo	59.90610	10.73920	32V 597276 6642231	2	Koordinatane er retta av Erik Bolstad	2018-10-22 19:08:07
0016	Oslo (ikkje i bruk)	0016 OSLO (ikkje i bruk)	Firma/organisasjon med eige postnummer		Vestre Aker	301	Oslo	Oslo	59.94390	10.65510	32V 592467 6646320	2	Koordinatane er retta av Erik Bolstad	2013-09-18 23:39:52
0017	Oslo (ikkje i bruk)	0017 OSLO (ikkje i bruk)	Firma/organisasjon med eige postnummer			3024	Bærum	Viken	59.91720	10.50490	32V 584145 6643146	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:28:58
0018	Oslo	0018 OSLO	Gate-/veg-adresse		Sentrum	301	Oslo	Oslo	59.90780	10.74050	32V 597344 6642423	2	Koordinatane er retta av Erik Bolstad	2018-10-11 19:06:19
0019	OSLO (ikkje i bruk)	0019 OSLO (ikkje i bruk)	Usikker			301	Oslo	Oslo	59.91000	10.75000	32V 597868 6642682	6	Usikker plassering	2018-10-03 16:52:23
0020	Oslo (ikkje i bruk)	0020 OSLO (ikkje i bruk)	Firma/organisasjon med eige postnummer			301	Oslo	Oslo	59.91160	10.75450	32V 598115 6642866	2	Koordinatane er retta av Erik Bolstad	2018-10-03 16:30:31
0021	Oslo	0021 OSLO	Postboksar		Frogner	301	Oslo	Oslo	59.90970	10.72540	32V 596494 6642612	5	Koordinatane er retta av ein yr.no-brukar	2013-04-03 10:02:40
